,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
0,(0.004020126480312548+0j),(0.061009412528694386+0j),(0.00041523195230199004+0j),(7.739560453043257-257.51785686711526j),(0.009459537453949451+0j),(5.830171971865639e-07+0j),(2.8753590724829444e-09+0j),(0.0049318597913722215+0j),(-20+0j),(2.0367373061039487e-06+0j)
1,(0.0071566794598379255+0j),(0.06103195570218264+0j),(0.00041247273346428496+0j),(7.978775916876136-254.95973085165036j),(0.013732604682445526+0j),(6.131120926511358e-07+0j),(6.059797633464056e-09+0j),(0.009883670059843551+0j),(-15+0j),(2.036739346920275e-06+0j)
2,(0.010286169661136157+0j),(0.06105433831452441+0j),(0.000409366095878194+0j),(8.25302523029751-252.59462687445927j),(0.018797606229782104+0j),(6.4606103933329e-07+0j),(1.1354221968969221e-08+0j),(0.017574534413476377+0j),(-10+0j),(2.0367413877366017e-06+0j)
3,(0.01340550865484291+0j),(0.0610765424147291+0j),(0.00040595089270428563+0j),(8.566427275789671-250.39348987980713j),(0.02441271021962166+0j),(6.823664193689183e-07+0j),(1.9150683405827615e-08+0j),(0.02806510235884554+0j),(-5+0j),(2.036743428552928e-06+0j)
4,(0.016511618029973682+0j),(0.0610985521493683+0j),(0.0004022649197891407+0j),(8.930991057936296-248.32110900283345j),(0.03030102141201496+0j),(7.232408734125784e-07+0j),(2.9503043608181713e-08+0j),(0.04079283222610605+0j),0j,(2.0367454693692547e-06+0j)
5,(0.019601432431580273+0j),(0.061120353694452303+0j),(0.0003983445410244972+0j),(9.36982156908293-246.34071966125106j),(0.036184486001729965+0j),(7.709089118179691e-07+0j),(4.2072381932788786e-08+0j),(0.05457503641198421+0j),(5+0j),(2.036747510185581e-06+0j)
6,(0.022671902585531714+0j),(0.0611419351676047+0j),(0.0003942243430277899+0j),(9.921617593096633-244.41581440501332j),(0.04179760068655014+0j),(8.29050179618207e-07+0j),(5.613774841007062e-08+0j),(0.06771333001329678+0j),(10+0j),(2.0367495510019077e-06+0j)
7,(0.025719998309199396+0j),(0.06116328652222419+0j),(0.0003899368222229936+0j),(10.647429924657837-242.51171040271706j),(0.04690048471093178+0j),(9.034727668222331e-07+0j),(7.068169356080753e-08+0j),(0.07823334156425639+0j),(15+0j),(2.0367515918182342e-06+0j)
8,(0.028742711499748302+0j),(0.06118439942547814+0j),(0.00038551210692842983+0j),(11.640165628548775-240.5980473804163j),(0.05130010098218918+0j),(1.0030706789621036e-06+0j),(8.456462446493882e-08+0j),(0.08430574857640087+0j),(20+0j),(2.0367536326345607e-06+0j)
9,(0.03173705910419588+0j),(0.06120526712210226+0j),(0.0003809777165749488+0j),(13.037320924217381-238.65100781996927j),(0.05487309768795967+0j),(1.1411416380724404e-06+0j),(9.675451489329055e-08+0j),(0.08478747218156324+0j),(25+0j),(2.0367556734508872e-06+0j)
10,(0.03470008606296842+0j),(0.061225884286082936+0j),(0.0003763583596852893+0j),(15.037024738375068-236.65255875057804j),(0.057578422129154205+0j),(1.3370923852562555e-06+0j),(1.0652996965334967e-07+0j),(0.07967285643686697+0j),(30+0j),(2.0367577142672137e-06+0j)
11,(0.037628868226188134+0j),(0.06124624686237468+0j),(0.0003716757717449389+0j),(17.916590705144504-234.5829070090598j),(0.05945133790373802+0j),(1.6184829974008608e-06+0j),(1.1357311817461596e-07+0j),(0.07017257416791171+0j),(35+0j),(2.0367597550835403e-06+0j)
12,(0.04052051523912342+0j),(0.061266351900853507+0j),(0.0003669485935974518+0j),(22.052969966472382-232.39995962374485j),(0.06057700887322426+0j),(2.023359229497146e-06+0j),(1.1791469584497626e-07+0j),(0.058276698534783136+0j),(40+0j),(2.0367617958998668e-06+0j)
