,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
0,(0.004020126480312548+0j),(0.05528075288100698+0j),(-0.00011420177944866213+0j),(6.4515144953486-189.37973254489322j),(0.023775046691298485+0j),(8.983856787381228e-07+0j),(8.157507819608876e-08+0j),(0.09080184616329763+0j),(-20+0j),(2.0367373061039487e-06+0j)
1,(0.0071566794598379255+0j),(0.05527696380221037+0j),(-0.00011605406942251048+0j),(7.357414062691697-187.90997455803588j),(0.030182460322976112+0j),(1.040237293636892e-06+0j),(1.3146919948584198e-07+0j),(0.1263838551934603+0j),(-15+0j),(2.036739346920275e-06+0j)
2,(0.010286169661136157+0j),(0.05527315637011247+0j),(-0.00011539545760016843+0j),(8.429430428864045-186.51024968139498j),(0.03681798279285431+0j),(1.2091469443475944e-06+0j),(1.9562967010865864e-07+0j),(0.1617914770600626+0j),(-10+0j),(2.0367413877366017e-06+0j)
3,(0.01340550865484291+0j),(0.05526940762118813+0j),(-0.00011224197737599193+0j),(9.744210516219916-185.14999487301728j),(0.043395157903432846+0j),(1.4173294857755536e-06+0j),(2.717673550816819e-07+0j),(0.1917460673817652+0j),(-5+0j),(2.036743428552928e-06+0j)
4,(0.016511618029973682+0j),(0.05526579381875923+0j),(-0.0001066278120521306+0j),(11.43846474272858-183.79003241634902j),(0.049613647162914276+0j),(1.6866230225787149e-06+0j),(3.5523606383568356e-07+0j),(0.21061971707972738+0j),0j,(2.0367454693692547e-06+0j)
5,(0.019601432431580273+0j),(0.0552623899018667+0j),(-9.860480715103413e-05+0j),(13.738934828006387-182.37621215871542j),(0.05517701059579849+0j),(2.0536788269964745e-06+0j),(4.3937068426414425e-07+0j),(0.21394323128253126+0j),(5+0j),(2.036747510185581e-06+0j)
6,(0.022671902585531714+0j),(0.055259268950979865+0j),(-8.824186418716283e-05+0j),(17.003397341960593-180.82558590475534j),(0.05982675030827522+0j),(2.577310169726843e-06+0j),(5.165419150990669e-07+0j),(0.20041899541870536+0j),(10+0j),(2.0367495510019077e-06+0j)
7,(0.025719998309199396+0j),(0.05525650167413855+0j),(-7.562421933933746e-05+0j),(21.771053468953454-178.99502419202702j),(0.06338050961494446+0j),(3.3480662295914954e-06+0j),(5.797305613165352e-07+0j),(0.17315385107757242+0j),(15+0j),(2.0367515918182342e-06+0j)
8,(0.028742711499748302+0j),(0.05525415591701707+0j),(-6.0852610496402705e-05+0j),(28.814934804470244-176.6148388869426j),(0.0657462626695633+0j),(4.499133410718059e-06+0j),(6.238165359660093e-07+0j),(0.13865259796029222+0j),(20+0j),(2.0367536326345607e-06+0j)
9,(0.03173705910419588+0j),(0.05525229620029156+0j),(-4.4042336213721925e-05+0j),(39.18307029295578-173.16148031019512j),(0.06688684225082397+0j),(6.215616394911194e-06+0j),(6.456484730349399e-07+0j),(0.10387521237049646+0j),(25+0j),(2.0367556734508872e-06+0j)
10,(0.03470008606296842+0j),(0.05525098328758092+0j),(-2.532221022975381e-05+0j),(54.206100249810085-167.60972299426376j),(0.06672833114862442+0j),(8.734196853765752e-06+0j),(6.425919321654229e-07+0j),(0.07357195434499157+0j),(30+0j),(2.0367577142672137e-06+0j)
11,(0.037628868226188134+0j),(0.055250273787117166+0j),(-4.833415356549876e-06+0j),(75.33429666458903-157.86949928982787j),(0.06502924859523773+0j),(1.2310460988373961e-05+0j),(6.102843222243059e-07+0j),(0.04957444914537809+0j),(35+0j),(2.0367597550835403e-06+0j)
12,(0.04052051523912342+0j),(0.055250219790180424+0j),(1.727173922975308e-05+0j),(102.86049836823287-139.65006081060727j),(0.06133028119802475+0j),(1.7096635929192416e-05+0j),(5.428310152447397e-07+0j),(0.03175075011791405+0j),(40+0j),(2.0367617958998668e-06+0j)
13,(0.04337217339595485+0j),(0.05525086854920567+0j),(4.083115301121363e-05+0j),(130.20106107225354-106.82532856622335j),(0.055541250854730606+0j),(2.2952053768676706e-05+0j),(4.451906703377605e-07+0j),(0.01939655051459161+0j),(45+0j),(2.0367638367161933e-06+0j)
14,(0.04618102845402938+0j),(0.055252262198331306+0j),(6.567435686134334e-05+0j),,,,,,,(2.0367658775325198e-06+0j)
15,(0.0489443084125218+0j),(0.05525443751901256+0j),(9.162401851365354e-05+0j),,,,,,,(2.0367679183488463e-06+0j)
16,(0.051659286247727844+0j),(0.05525742575316249+0j),(0.00011849752533153348+0j),,,,,,,(2.036769959165173e-06+0j)
17,(0.054323282604307334+0j),(0.055261252466107004+0j),(0.0001461086383605866+0j),,,,,,,(2.0367719999814993e-06+0j)
18,(0.056933668439185375+0j),(0.05526593746144308+0j),(0.00017426921087542496+0j),,,,,,,(2.036774040797826e-06+0j)
19,(0.059487867617303083+0j),(0.055271494749664626+0j),(0.00020279096358926448+0j),,,,,,,(2.0367760816141523e-06+0j)
20,(0.06198335945213838+0j),(0.0552779325721571+0j),(0.00023148730725788708+0j),,,,,,,(2.036778122430479e-06+0j)
21,(0.06441768119453459+0j),(0.05528525348184645+0j),(0.00026017520143842776+0j),,,,,,,(2.0367801632468054e-06+0j)
22,(0.06678843046283113+0j),(0.05529345448140071+0j),(0.00028867703548819077+0j),,,,,,,(2.036782204063132e-06+0j)
23,(0.06909326761319817+0j),(0.05530252721939966+0j),(0.00031682251433089414+0j),,,,,,,(2.0367842448794584e-06+0j)
24,(0.07132991805070214+0j),(0.05531245824427964+0j),(0.0003444505269253053+0j),,,,,,,(2.036786285695785e-06+0j)
25,(0.07349617447110039+0j),(0.055323229315092703+0j),(0.00037141096963900887+0j),,,,,,,(2.0367883265121114e-06+0j)
26,(0.0755898990403396+0j),(0.0553348177671592+0j),(0.00039756648989038197+0j),,,,,,,(2.036790367328438e-06+0j)
27,(0.07760902550530327+0j),(0.055347196929507375+0j),(0.0004227941076991389+0j),,,,,,,(2.0367924081447644e-06+0j)
