,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
32,(0.08651862877028785+0j),(0.08116388935776411+0j),(0.0005320714844316782+0j),,,,,,,(2.036802612226397e-06+0j)
33,(0.08805103139617805+0j),(0.08130278036347964+0j),(0.0005600457760990667+0j),,,,,,,(2.0368046530427235e-06+0j)
34,(0.08949653828428333+0j),(0.08144870262308647+0j),(0.0005871685828927612+0j),,,,,,,(2.03680669385905e-06+0j)
35,(0.09085372289449278+0j),(0.08160143353838754+0j),(0.0006133991374435062+0j),,,,,,,(2.0368087346753765e-06+0j)
36,(0.09212124584910604+0j),(0.08176074028143798+0j),(0.0006386980455510827+0j),,,,,,,(2.036810775491703e-06+0j)
37,(0.0932978562559968+0j),(0.08192638015409863+0j),(0.0006630273564859873+0j),,,,,,,(2.0368128163080295e-06+0j)
38,(0.09438239294274735+0j),(0.08209810096549519+0j),(0.0006863506329959854+0j),,,,,,,(2.036814857124356e-06+0j)
39,(0.09537378560269487+0j),(0.08227564142746299+0j),(0.0007086330222373445+0j),,,,,,,(2.0368168979406825e-06+0j)
40,(0.09627105585054985+0j),(0.08245873156845698+0j),(0.0007298413295388127+0j),,,,,,,(2.036818938757009e-06+0j)
41,(0.09707331818944216+0j),(0.08264709316703289+0j),(0.0007499440979998813+0j),,,,,,,(2.0368209795733355e-06+0j)
42,(0.0977797808830829+0j),(0.08284044020699984+0j),(0.0007689116987096757+0j),,,,,,,(2.036823020389662e-06+0j)
43,(0.09838974673808566+0j),(0.08303847935794906+0j),(0.0007867164393741215+0j),,,,,,,(2.0368250612059886e-06+0j)
44,(0.09890261379179364+0j),(0.08324091048751654+0j),(0.0008033327043503795+0j),,,,,,,(2.036827102022315e-06+0j)
45,(0.099317875906344+0j),(0.08344742721625209+0j),(0.0008187371484609307+0j),,,,,,,(2.0368291428386416e-06+0j)
46,(0.0996351232681338+0j),(0.08365771753342519+0j),(0.0008329089806503514+0j),,,,,,,(2.036831183654968e-06+0j)
47,(0.09985404279239218+0j),(0.08387146449508293+0j),(0.0008458303248118225+0j),,,,,,,(2.0368332244712946e-06+0j)
48,(0.09997441843193673+0j),(0.0840883470139556+0j),(0.0008574865786244325+0j),,,,,,,(2.036835265287621e-06+0j)
49,(0.09999613139054436+0j),(0.08430804074294698+0j),(0.0008678667880000557+0j),,,,,,,(2.0368373061039476e-06+0j)
50,(0.09991916024014634+0j),(0.08453021907084211+0j),(0.0008769641519097413+0j),,,,,,,(2.036839346920274e-06+0j)
51,(0.09974358094200132+0j),(0.08475455426826209+0j),(0.000884776694805541+0j),,,,,,,(2.0368413877366006e-06+0j)
52,(0.09946956677163798+0j),(0.08498071882360726+0j),(0.0008913080828252378+0j),,,,,,,(2.036843428552927e-06+0j)
53,(0.09909738814797496+0j),(0.08520838700340486+0j),(0.0008965685658771203+0j),,,,,,,(2.0368454693692536e-06+0j)
54,(0.09862741236638013+0j),(0.08543723666420046+0j),(0.0009005760065005636+0j),,,,,,,(2.03684751018558e-06+0j)
55,(0.09806010323620912+0j),(0.08566695132720235+0j),(0.0009033569097782005+0j),,,,,,,(2.0368495510019067e-06+0j)
56,(0.09739602062308132+0j),(0.08589722249769023+0j),(0.000904947311272149+0j),,,,,,,(2.036851591818233e-06+0j)
57,(0.09663581989645381+0j),(0.08612775216732431+0j),(0.0009053933222394531+0j),,,,,,,(2.0368536326345597e-06+0j)
58,(0.09578025128248763+0j),(0.08635825538180945+0j),(0.0009047510965989318+0j),,,,,,,(2.036855673450886e-06+0j)
59,(0.09483015912419318+0j),(0.08658846269866725+0j),(0.0009030860030728949+0j),,,,,,,(2.0368577142672127e-06+0j)
60,(0.09378648104782472+0j),(0.0868181223170077+0j),(0.0009004708832537424+0j),,,,,,,(2.036859755083539e-06+0j)
61,(0.09265024703763886+0j),(0.08704700165286602+0j),(0.0008969834496006962+0j),,,,,,,(2.0368617958998657e-06+0j)
62,(0.09142257841942449+0j),(0.08727488817369065+0j),(0.0008927030829086602+0j),,,,,,,(2.0368638367161922e-06+0j)
63,(0.09010468675404737+0j),(0.08750158939262316+0j),(0.0008877074517806245+0j),,,,,,,(2.0368658775325187e-06+0j)
64,(0.08869787264116509+0j),(0.08772693203760677+0j),(0.0008820694278730696+0j),,,,,,,(2.0368679183488452e-06+0j)
65,(0.08720352443660778+0j),(0.08795076052070867+0j),(0.0008758546877308072+0j),,,,,,,(2.0368699591651718e-06+0j)
66,(0.0856231168816385+0j),(0.08817293490994249+0j),(0.0008691202129251753+0j),,,,,,,(2.0368719999814983e-06+0j)
67,(0.08395820964770916+0j),(0.08839332863422616+0j),(0.0008619136989164173+0j),,,,,,,(2.0368740407978248e-06+0j)
68,(0.0822104457974601+0j),(0.08861182613487459+0j),(0.0008542737271755055+0j),,,,,,,(2.0368760816141513e-06+0j)
69,(0.08038155016239674+0j),(0.08882832062988921+0j),(0.0008462304767217147+0j),,,,,,,(2.036878122430478e-06+0j)
70,(0.07847332764190332+0j),(0.08904271209936251+0j),(0.0008378067449315443+0j),,,,,,,(2.0368801632468043e-06+0j)
71,(0.0764876614212251+0j),(0.08925490554660308+0j),(0.0008290190869253546+0j),,,,,,,(2.036882204063131e-06+0j)
72,(0.07442651111318954+0j),(0.0894648095481514+0j),(0.0008198789395803081+0j),,,,,,,(2.0368842448794573e-06+0j)
73,(0.07229191082430506+0j),(0.08967233507857435+0j),(0.0008103936503582567+0j),,,,,,,(2.036886285695784e-06+0j)
74,(0.07008596714786237+0j),(0.08987739458092804+0j),(0.0008005673732550323+0j),,,,,,,(2.0368883265121103e-06+0j)
75,(0.06781085708265433+0j),(0.09007990124777057+0j),(0.0007904018224799887+0j),,,,,,,(2.036890367328437e-06+0j)
76,(0.06546882588866755+0j),(0.09027976847732642+0j),(0.0007798968910705851+0j),,,,,,,(2.0368924081447634e-06+0j)
77,(0.06306218486767422+0j),(0.09047690947228806+0j),(0.0007690511498246819+0j),,,,,,,(2.03689444896109e-06+0j)
78,(0.060593309083804794+0j),(0.0906712369530255+0j),(0.0007578622447426927+0j),,,,,,,(2.0368964897774164e-06+0j)
79,(0.05806463501997943+0j),(0.09086266296158542+0j),(0.000746327210919833+0j),,,,,,,(2.036898530593743e-06+0j)
80,(0.05547865817103747+0j),(0.09105109873721715+0j),(0.0007344427190577305+0j),,,,,,,(2.0369005714100694e-06+0j)
81,(0.05283793058449893+0j),(0.09123645464798834+0j),(0.0007222052684171218+0j),,,,,,,(2.036902612226396e-06+0j)
82,(0.05014505833935812+0j),(0.09141864016627604+0j),(0.0007096113376298213+0j),,,,,,,(2.0369046530427224e-06+0j)
83,(0.04740269897603028+0j),(0.091597563878553+0j),(0.0006966575025876004+0j),,,,,,,(2.036906693859049e-06+0j)
84,(0.04461355887180915+0j),(0.09177313352199855+0j),(0.0006833405287309897+0j),,,,,,,(2.0369087346753754e-06+0j)
