,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
0,(0.004020126480312548+0j),(0.3368820458081771+0j),(0.0017469625405239953+0j),(5.08766832606631-42.69542221560859j),(0.27934595942497253+0j),(1.375947795168031e-05+0j),(7.1554023986191215e-06+0j),(0.5200344390787953+0j),(-20+0j),(2.0367373061039487e-06+0j)
1,(0.0071566794598379255+0j),(0.33693005342624605+0j),(0.0018185887873721086+0j),(5.276405761970109-42.53547173904933j),(0.2907573878765106+0j),(1.4360613022290636e-05+0j),(7.751946941121369e-06+0j),(0.5398061300787611+0j),(-15+0j),(2.036739346920275e-06+0j)
2,(0.010286169661136157+0j),(0.3369799955956937+0j),(0.0018881619178999151+0j),(5.493367128125443-42.37388031790596j),(0.30199602246284485+0j),(1.5044335668790154e-05+0j),(8.36280018774426e-06+0j),(0.5558770006104753+0j),(-10+0j),(2.0367413877366017e-06+0j)
3,(0.01340550865484291+0j),(0.3370318148382251+0j),(0.001955593545174123+0j),(5.758386669018444-42.203897257023584j),(0.3129749894142151+0j),(1.586917096574325e-05+0j),(8.981906735073079e-06+0j),(0.5659972253410278+0j),(-5+0j),(2.036743428552928e-06+0j)
4,(0.016511618029973682+0j),(0.33708545129033646+0j),(0.002020797964423097+0j),(6.102955523406325-42.01435663551722j),(0.3235681653022766+0j),(1.6929559933487326e-05+0j),(9.600212520055425e-06+0j),(0.567068048890381+0j),0j,(2.0367454693692547e-06+0j)
5,(0.019601432431580273+0j),(0.33714084277846507+0j),(0.002083692272924962+0j),(6.576026168187772-41.78689185281165j),(0.3336027264595032+0j),(1.8375036233919673e-05+0j),(1.0204893039411547e-05+0j),(0.5553672335390377+0j),(5+0j),(2.036747510185581e-06+0j)
6,(0.022671902585531714+0j),(0.3371979248973534+0j),(0.002144196484849452+0j),(7.251878218133162-41.491035694071776j),(0.34285834431648254+0j),(2.043820495600812e-05+0j),(1.0779006194608433e-05+0j),(0.5273949555653017+0j),(10+0j),(2.0367495510019077e-06+0j)
7,(0.025719998309199396+0j),(0.33725663109148923+0j),(0.002202233640831902+0j),(8.239789494380432-41.075028215883165j),(0.35107824206352234+0j),(2.3474447516491637e-05+0j),(1.1302046882999334e-05+0j),(0.4814616776415821+0j),(15+0j),(2.0367515918182342e-06+0j)
8,(0.028742711499748302+0j),(0.33731689273947296+0j),(0.002257729912068047+0j),(9.69346978342687-40.44811076546249j),(0.35798534750938416+0j),(2.8015558200422674e-05+0j),(1.1751133947058333e-05+0j),(0.41945028769339465+0j),(20+0j),(2.0367536326345607e-06+0j)
9,(0.03173705910419588+0j),(0.33737863924115913+0j),(0.0023106146987297523+0j),(11.814140786666632-39.44795507883606j),(0.3632703125476837+0j),(3.483522596070543e-05+0j),(1.2100660864881458e-05+0j),(0.34736851939847196+0j),(25+0j),(2.0367556734508872e-06+0j)
10,(0.03470008606296842+0j),(0.3374417981074143+0j),(0.002360820722513835+0j),(14.835246174324984-37.78863519651532j),(0.36646851897239685+0j),(4.500800423556939e-05+0j),(1.231466552111677e-05+0j),(0.2736105661709081+0j),(30+0j),(2.0367577142672137e-06+0j)
11,(0.037628868226188134+0j),(0.3375062950523282+0j),(0.002408284113148312+0j),(18.97985690225875-34.993931726475104j),(0.3665233254432678+0j),(5.98804654146079e-05+0j),(1.2318349187192493e-05+0j),(0.205715655379449+0j),(35+0j),(2.0367597550835403e-06+0j)
12,(0.04052051523912342+0j),(0.33757205408771035+0j),(0.0024529444886937303+0j),(24.430903008598904-30.30390675194885j),(0.36044055223464966+0j),(8.061954576987773e-05+0j),(1.1912874515895833e-05+0j),(0.14776657945828936+0j),(40+0j),(2.0367617958998668e-06+0j)
