,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
32,(0.08651862877028785+0j),(0.0697298366752749+0j),(0.0006179197333641655+0j),,,,,,,(2.036802612226397e-06+0j)
33,(0.08805103139617805+0j),(0.06974847555103365+0j),(0.0006080103694192765+0j),,,,,,,(2.0368046530427235e-06+0j)
34,(0.08949653828428333+0j),(0.06976682216125919+0j),(0.00059875609090094+0j),,,,,,,(2.03680669385905e-06+0j)
35,(0.09085372289449278+0j),(0.0697848961782591+0j),(0.0005901366775888875+0j),,,,,,,(2.0368087346753765e-06+0j)
36,(0.09212124584910604+0j),(0.06980271658207594+0j),(0.0005821269570650396+0j),,,,,,,(2.036810775491703e-06+0j)
37,(0.0932978562559968+0j),(0.06982030152413715+0j),(0.0005746977682363419+0j),,,,,,,(2.0368128163080295e-06+0j)
38,(0.09438239294274735+0j),(0.06983766821782236+0j),(0.0005678167628458149+0j),,,,,,,(2.036814857124356e-06+0j)
39,(0.09537378560269487+0j),(0.0698548328514011+0j),(0.0005614490708344635+0j),,,,,,,(2.0368168979406825e-06+0j)
40,(0.09627105585054985+0j),(0.06987181051954001+0j),(0.0005555578526351417+0j),,,,,,,(2.036818938757009e-06+0j)
41,(0.09707331818944216+0j),(0.06988861517023495+0j),(0.0005501047583239072+0j),,,,,,,(2.0368209795733355e-06+0j)
42,(0.0977797808830829+0j),(0.06990525956458331+0j),(0.0005450503104436811+0j),,,,,,,(2.036823020389662e-06+0j)
43,(0.09838974673808566+0j),(0.06992175524728188+0j),(0.0005403542244659612+0j),,,,,,,(2.0368250612059886e-06+0j)
44,(0.09890261379179364+0j),(0.06993811252612274+0j),(0.0005359756783594985+0j),,,,,,,(2.036827102022315e-06+0j)
45,(0.099317875906344+0j),(0.0699543404590776+0j),(0.0005318735406081641+0j),,,,,,,(2.0368291428386416e-06+0j)
46,(0.0996351232681338+0j),(0.0699704468478183+0j),(0.0005280065642459242+0j),,,,,,,(2.036831183654968e-06+0j)
47,(0.09985404279239218+0j),(0.06998643823673058+0j),(0.0005243335530168203+0j),,,,,,,(2.0368332244712946e-06+0j)
48,(0.09997441843193673+0j),(0.0700023199166457+0j),(0.0005208135045789897+0j),,,,,,,(2.036835265287621e-06+0j)
49,(0.09999613139054436+0j),(0.07001809593265013+0j),(0.0005174057347113061+0j),,,,,,,(2.0368373061039476e-06+0j)
50,(0.09991916024014634+0j),(0.07003376909544244+0j),(0.0005140699857097123+0j),,,,,,,(2.036839346920274e-06+0j)
51,(0.09974358094200132+0j),(0.07004934099579453+0j),(0.0005107665215432709+0j),,,,,,,(2.0368413877366006e-06+0j)
52,(0.09946956677163798+0j),(0.07006481202174475+0j),(0.0005074562118482167+0j),,,,,,,(2.036843428552927e-06+0j)
53,(0.09909738814797496+0j),(0.07008018137820854+0j),(0.0005041006064473901+0j),,,,,,,(2.0368454693692536e-06+0j)
54,(0.09862741236638013+0j),(0.07009544710873832+0j),(0.0005006620017721859+0j),,,,,,,(2.03684751018558e-06+0j)
55,(0.09806010323620912+0j),(0.07011060611920307+0j),(0.0004971035003182339+0j),,,,,,,(2.0368495510019067e-06+0j)
56,(0.09739602062308132+0j),(0.07012565420318947+0j),(0.0004933890640712156+0j),,,,,,,(2.036851591818233e-06+0j)
57,(0.09663581989645381+0j),(0.07014058606895243+0j),(0.0004894835626847671+0j),,,,,,,(2.0368536326345597e-06+0j)
58,(0.09578025128248763+0j),(0.07015539536776484+0j),(0.00048535281706969845+0j),,,,,,,(2.036855673450886e-06+0j)
59,(0.09483015912419318+0j),(0.07017007472353577+0j),(0.00048096363895623964+0j),,,,,,,(2.0368577142672127e-06+0j)
60,(0.09378648104782472+0j),(0.07018461576358105+0j),(0.0004762838669128166+0j),,,,,,,(2.036859755083539e-06+0j)
61,(0.09265024703763886+0j),(0.0701990091504448+0j),(0.0004712823992418462+0j),,,,,,,(2.0368617958998657e-06+0j)
62,(0.09142257841942449+0j),(0.0702132446146824+0j),(0.0004659292241220593+0j),,,,,,,(2.0368638367161922e-06+0j)
63,(0.09010468675404737+0j),(0.07022731098852554+0j),(0.0004601954473248042+0j),,,,,,,(2.0368658775325187e-06+0j)
64,(0.08869787264116509+0j),(0.07024119624036036+0j),(0.00045405331779667596+0j),,,,,,,(2.0368679183488452e-06+0j)
65,(0.08720352443660778+0j),(0.0702548875099572+0j),(0.0004474762513715136+0j),,,,,,,(2.0368699591651718e-06+0j)
66,(0.0856231168816385+0j),(0.07026837114439843+0j),(0.0004404388528492815+0j),,,,,,,(2.0368719999814983e-06+0j)
67,(0.08395820964770916+0j),(0.07028163273465854+0j),(0.00043291693665706423+0j),,,,,,,(2.0368740407978248e-06+0j)
68,(0.0822104457974601+0j),(0.07029465715279522+0j),(0.00042488754628810876+0j),,,,,,,(2.0368760816141513e-06+0j)
69,(0.08038155016239674+0j),(0.07030742858971763+0j),(0.00041632897269696555+0j),,,,,,,(2.036878122430478e-06+0j)
70,(0.07847332764190332+0j),(0.07031993059350235+0j),(0.000407220771813285+0j),,,,,,,(2.0368801632468043e-06+0j)
71,(0.0764876614212251+0j),(0.07033214610823206+0j),(0.0003975437813222132+0j),,,,,,,(2.036882204063131e-06+0j)
72,(0.07442651111318954+0j),(0.07034405751333705+0j),(0.0003872801368459886+0j),,,,,,,(2.0368842448794573e-06+0j)
73,(0.07229191082430506+0j),(0.07035564666342292+0j),(0.000376413287649697+0j),,,,,,,(2.036886285695784e-06+0j)
74,(0.07008596714786237+0j),(0.07036689492857172+0j),(0.0003649280119831812+0j),,,,,,,(2.0368883265121103e-06+0j)
75,(0.06781085708265433+0j),(0.0703777832351071+0j),(0.00035281043216082487+0j),,,,,,,(2.036890367328437e-06+0j)
76,(0.06546882588866755+0j),(0.07038829210681657+0j),(0.0003400480294733052+0j),,,,,,,(2.0368924081447634e-06+0j)
77,(0.06306218486767422+0j),(0.07039840170662756+0j),(0.000326629659016825+0j),,,,,,,(2.03689444896109e-06+0j)
78,(0.060593309083804794+0j),(0.07040809187873548+0j),(0.00031254556451846985+0j),,,,,,,(2.0368964897774164e-06+0j)
79,(0.05806463501997943+0j),(0.07041734219118513+0j),(0.0002977873932319434+0j),,,,,,,(2.036898530593743e-06+0j)
80,(0.05547865817103747+0j),(0.07042613197890844+0j),(0.0002823482109718832+0j),,,,,,,(2.0369005714100694e-06+0j)
81,(0.05283793058449893+0j),(0.07043444038722388+0j),(0.00026622251735264004+0j),,,,,,,(2.036902612226396e-06+0j)
82,(0.05014505833935812+0j),(0.07044224641580468+0j),(0.0002494062612940467+0j),,,,,,,(2.0369046530427224e-06+0j)
83,(0.04740269897603028+0j),(0.07044952896312498+0j),(0.00023189685685457123+0j),,,,,,,(2.036906693859049e-06+0j)
84,(0.04461355887180915+0j),(0.07045626687139468+0j),(0.00021369319945159363+0j),,,,,,,(2.0369087346753754e-06+0j)
85,(0.04178039057190175+0j),(0.07046243897199593+0j),(0.00019479568252795735+0j),,,,,,,(2.036910775491702e-06+0j)
86,(0.038905990070055387+0j),(0.07046802413143546+0j),(0.00017520621472380223+0j),,,,,,,(2.0369128163080284e-06+0j)
87,(0.03599319405318604+0j),(0.07047300129782934+0j),(0.00015492823761369833+0j),,,,,,,(2.036914857124355e-06+0j)
88,(0.03304487709929631+0j),(0.07047734954793816+0j),(0.00013396674406941617+0j),,,,,,,(2.0369168979406815e-06+0j)
89,(0.03006394884091816+0j),(0.07048104813477293+0j),(0.00011232829730854653+0j),,,,,,,(2.036918938757008e-06+0j)
90,(0.027053351095041197+0j),(0.07048407653579296+0j),(9.002105069094509e-05+0j),,,,,,,(2.0369209795733345e-06+0j)
91,(0.02401605495852973+0j),(0.07048641450172018+0j),(6.70547683237232e-05+0j),,,,,,,(2.036923020389661e-06+0j)
92,(0.020955057874566602+0j),(0.07048804210599502+0j),(4.3440846534201953e-05+0j),,,,,,,(2.0369250612059875e-06+0j)
93,(0.017873380678415565+0j),(0.07048893979490108+0j),(1.919233626937864e-05+0j),,,,,,,(2.036927102022314e-06+0j)
94,(0.014774064613413905+0j),(0.07048908843838828+0j),(-5.676033524856266e-06+0j),,,,,,,(2.0369291428386405e-06+0j)
95,(0.011660168330332881+0j),(0.07048846938162437+0j),(-3.114783149817432e-05+0j),,,,,,,(2.036931183654967e-06+0j)
96,(0.008534764869221188+0j),(0.07048706449730734+0j),(-5.720489842534262e-05+0j),,,,,,,(2.0369332244712935e-06+0j)
97,(0.005400938625236704+0j),(0.07048485623877089+0j),(-8.382732064589672e-05+0j),,,,,,,(2.03693526528762e-06+0j)
98,(0.0022617823068922013+0j),(0.07048182769391706+0j),(-0.0001109934024052288+0j),,,,,,,(2.0369373061039466e-06+0j)
99,(-0.0008796061175209715+0j),(0.07047796264000869+0j),(-0.0001386796371107832+0j),,,,,,,(2.036939346920273e-06+0j)
100,(-0.004020126476892263+0j),(0.07047324559935468+0j),(-0.0001668606775455514+0j),,,,,,,(2.0369413877365996e-06+0j)
101,(-0.007156679456786517+0j),(0.07046766189591833+0j),(-0.0001955093051157291+0j),,,,,,,(2.036943428552926e-06+0j)
102,(-0.010286169657731263+0j),(0.0704611977128764+0j),(-0.00022459639825315027+0j),,,,,,,(2.0369454693692526e-06+0j)
103,(-0.013405508651450754+0j),(0.07045384015115227+0j),(-0.0002540909001462093+0j),,,,,,,(2.036947510185579e-06+0j)
104,(-0.016511618026597615+0j),(0.07044557728893977+0j),(-0.000283959786035689+0j),,,,,,,(2.0369495510019056e-06+0j)
105,(-0.019601432428223625+0j),(0.07043639824222639+0j),(-0.00031416803038712+0j),,,,,,,(2.036951591818232e-06+0j)
106,(-0.022671902582552125+0j),(0.07042629322631366+0j),(-0.0003446785743390016+0j),,,,,,,(2.0369536326345586e-06+0j)
107,(-0.02571999830624306+0j),(0.07041525361831816+0j),(-0.0003754522939261812+0j),,,,,,,(2.036955673450885e-06+0j)
108,(-0.0287427114964697+0j),(0.07040327202062065+0j),(-0.00040644796969205993+0j),,,,,,,(2.0369577142672116e-06+0j)
109,(-0.03173705910094979+0j),(0.07039034232520977+0j),(-0.00043762225843098346+0j),,,,,,,(2.036959755083538e-06+0j)
110,(-0.034700086059758065+0j),(0.0703764597788412+0j),(-0.0004689296679414624+0j),,,,,,,(2.0369617958998647e-06+0j)
111,(-0.03762886822301667+0j),(0.07036162104890552+0j),(-0.0005003225358216978+0j),,,,,,,(2.036963836716191e-06+0j)
112,(-0.04052051523632657+0j),(0.07034582428986276+0j),(-0.0005317510134974363+0j),,,,,,,(2.0369658775325177e-06+0j)
113,(-0.04337217339287052+0j),(0.0703290692100637+0j),(-0.0005631630568332913+0j),,,,,,,(2.036967918348844e-06+0j)
114,(-0.04618102845099321+0j),(0.07031135713873403+0j),(-0.0005945044248389084+0j),,,,,,,(2.0369699591651707e-06+0j)
115,(-0.04894430840953678+0j),(0.07029269109284926+0j),(-0.0006257186881310123+0j),,,,,,,(2.036971999981497e-06+0j)
116,(-0.05165928624479691+0j),(0.07027307584357513+0j),(-0.0006567472489448948+0j),,,,,,,(2.0369740407978237e-06+0j)
117,(-0.054323282601433404+0j),(0.07025251798189273+0j),(-0.0006875293745932702+0j),,,,,,,(2.0369760816141502e-06+0j)
118,(-0.05693366843667035+0j),(0.07023102598296788+0j),(-0.0007180022463346892+0j),,,,,,,(2.0369781224304767e-06+0j)
119,(-0.05948786761455158+0j),(0.07020861026876489+0j),(-0.0007481010256279925+0j),,,,,,,(2.0369801632468032e-06+0j)
120,(-0.06198335944945219+0j),(0.07018528326834501+0j),(-0.0007777589397015297+0j),,,,,,,(2.0369822040631298e-06+0j)
121,(-0.06441768119191636+0j),(0.07016105947523268+0j),(-0.0008069073882455475+0j),,,,,,,(2.0369842448794563e-06+0j)
122,(-0.06678843046028347+0j),(0.07013595550118083+0j),(-0.0008354760728372808+0j),,,,,,,(2.0369862856957828e-06+0j)
123,(-0.06909326761124958+0j),(0.0701099901256218+0j),(-0.0008633931504263248+0j),,,,,,,(2.0369883265121093e-06+0j)
124,(-0.07132991804830306+0j),(0.07008318434005521+0j),(-0.0008905854118428615+0j),,,,,,,(2.036990367328436e-06+0j)
125,(-0.0734961744687792+0j),(0.07005556138660159+0j),(-0.0009169784858520312+0j),,,,,,,(2.0369924081447623e-06+0j)
126,(-0.07558989903809857+0j),(0.07002714678994237+0j),(-0.0009424970687732496+0j),,,,,,,(2.036994448961089e-06+0j)
127,(-0.07760902550314462+0j),(0.06999796838187448+0j),(-0.0009670651791358213+0j),,,,,,,(2.0369964897774153e-06+0j)
