,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
0,(0.004020126480312548+0j),(0.008729362238049794+0j),(-0.00042524417359762604+0j),(13.640270466542184-19.442888336402376j),(0.8893991708755493+0j),(0.00012090655945939943+0j),(1.6163804868841488e-05+0j),(0.13368840318601005+0j),(-20+0j),(2.0367373061039487e-06+0j)
1,(0.0071566794598379255+0j),(0.008616904283895954+0j),(-0.0004188845593952292+0j),(12.588273989379083-19.869896642778475j),(0.9144149422645569+0j),(0.00011376090697012842+0j),(1.708585776942151e-05+0j),(0.1501909419015792+0j),(-15+0j),(2.036739346920275e-06+0j)
2,(0.010286169661136157+0j),(0.008506201862081078+0j),(-0.00041206587296776305+0j),(11.659973496362685-20.202131447260637j),(0.937608003616333+0j),(0.00010715284588513896+0j),(1.7963574947987827e-05+0j),(0.16764440365161778+0j),(-10+0j),(2.0367413877366017e-06+0j)
3,(0.01340550865484291+0j),(0.008397376138211985+0j),(-0.000404796312777685+0j),(13.249976121367569-19.27401698402458j),(0.9383164048194885+0j),(0.00012110391253372654+0j),(1.799072963383524e-05+0j),(0.1485561387525358+0j),(-5+0j),(2.036743428552928e-06+0j)
4,(0.016511618029973682+0j),(0.00829054600559019+0j),(-0.00039708473893417765+0j),(14.627939638653404-18.359852298065753j),(0.9385454058647156+0j),(0.0001327252248302102+0j),(1.7999512169471393e-05+0j),(0.13561485537129367+0j),0j,(2.0367454693692547e-06+0j)
5,(0.019601432431580273+0j),(0.008185827910173759+0j),(-0.00038894066441306526+0j),(15.85585008200513-17.446450697762685j),(0.9381311535835266+0j),(0.0001426432718290016+0j),(1.7983626537509547e-05+0j),(0.1260741309906858+0j),(5+0j),(2.036747510185581e-06+0j)
6,(0.022671902585531714+0j),(0.008083335678072248+0j),(-0.00038037424482423727+0j),(16.98624092930358-16.50516673178119j),(0.9367612600326538+0j),(0.00015140516916289926+0j),(1.7931144180479193e-05+0j),(0.11843151907968734+0j),(10+0j),(2.0367495510019077e-06+0j)
7,(0.025719998309199396+0j),(0.007983180345964042+0j),(-0.0003713962667042271+0j),(18.06917110717033-15.484653760284937j),(0.9339383840560913+0j),(0.00015954564150888473+0j),(1.7823238074633045e-05+0j),(0.11171247240646502+0j),(15+0j),(2.0367515918182342e-06+0j)
8,(0.028742711499748302+0j),(0.00788546999483215+0j),(-0.00036201813431198393+0j),(19.160771985922118-14.291029117863713j),(0.9289038181304932+0j),(0.0001676742685958743+0j),(1.763159714946869e-05+0j),(0.10515386348256014+0j),(20+0j),(2.0367536326345607e-06+0j)
9,(0.03173705910419588+0j),(0.00779030958742009+0j),(-0.00035225185490559373+0j),(20.328739385378892-12.748115961238085j),(0.9205011129379272+0j),(0.00017653453687671572+0j),(1.7314055061316736e-05+0j),(0.09807743780701757+0j),(25+0j),(2.0367556734508872e-06+0j)
10,(0.03470008606296842+0j),(0.007697800809815107+0j),(-0.0003421100224770595+0j),(21.643902465383622-10.518942728658264j),(0.9068068861961365+0j),(0.00018687313422560692+0j),(1.680272723419949e-05+0j),(0.08991515716707575+0j),(30+0j),(2.0367577142672137e-06+0j)
11,(0.037628868226188134+0j),(0.007608041917572785+0j),(-0.0003316057999215513+0j),(23.23934082256699-6.766208862984881j),(0.8804539442062378+0j),(0.00019833909755107015+0j),(1.5840301555601732e-05+0j),(0.0798647455352217+0j),(35+0j),(2.0367597550835403e-06+0j)
12,(0.04052051523912342+0j),(0.007521127586803274+0j),(-0.00032075289961618276+0j),(90.70602406280128+135.81006949171493j),(0.041154902428388596+0j),(1.700402208371088e-05+0j),(3.4609339509154265e-08+0j),(0.0020353619478245986+0j),(40+0j),(2.0367617958998668e-06+0j)
13,(0.04337217339595485+0j),(0.007437148770646212+0j),(-0.00030956556238167593+0j),(78.46480731137763+209.20457382916797j),(0.010254199616611004+0j),(7.858544449845795e-06+0j),(2.148590709374377e-09+0j),(0.0002734082275778866+0j),(45+0j),(2.0367638367161933e-06+0j)
14,(0.04618102845402938+0j),(0.007356192561568743+0j),(-0.00029805853479852044+0j),,,,,,,(2.0367658775325198e-06+0j)
15,(0.0489443084125218+0j),(0.007278342059929058+0j),(-0.0002862470448469123+0j),,,,,,,(2.0367679183488463e-06+0j)
16,(0.051659286247727844+0j),(0.007203676249256295+0j),(-0.00027414677583723095+0j),,,,,,,(2.036769959165173e-06+0j)
17,(0.054323282604307334+0j),(0.007132269878706508+0j),(-0.00026177383859546995+0j),,,,,,,(2.0367719999814993e-06+0j)
18,(0.056933668439185375+0j),(0.007064193353164966+0j),(-0.00024914474186545906+0j),,,,,,,(2.036774040797826e-06+0j)
19,(0.059487867617303083+0j),(0.0069995126314747365+0j),(-0.0002362763608873812+0j),,,,,,,(2.0367760816141523e-06+0j)
20,(0.06198335945213838+0j),(0.006938289133282883+0j),(-0.000223185904110472+0j),,,,,,,(2.036778122430479e-06+0j)
21,(0.06441768119453459+0j),(0.006880579655007001+0j),(-0.0002098908779967181+0j),,,,,,,(2.0367801632468054e-06+0j)
22,(0.06678843046283113+0j),(0.006826436295436078+0j),(-0.00019640904987252618+0j),,,,,,,(2.036782204063132e-06+0j)
23,(0.06909326761319817+0j),(0.006775906391491196+0j),(-0.0001827584087875224+0j),,,,,,,(2.0367842448794584e-06+0j)
24,(0.07132991805070214+0j),(0.006729032464681398+0j),(-0.0001689571243437666+0j),,,,,,,(2.036786285695785e-06+0j)
25,(0.07349617447110039+0j),(0.006685852178799249+0j),(-0.00015502350346650965+0j),,,,,,,(2.0367883265121114e-06+0j)
26,(0.0755898990403396+0j),(0.006646398309406471+0j),(-0.00014097594509918798+0j),,,,,,,(2.036790367328438e-06+0j)
27,(0.07760902550530327+0j),(0.006610698725662511+0j),(-0.0001268328928219062+0j),,,,,,,(2.0367924081447644e-06+0j)
28,(0.07955156123194253+0j),(0.006578776385046123+0j),(-0.0001126127854163435+0j),,,,,,,(2.036794448961091e-06+0j)
29,(0.08141558917159784+0j),(0.0065506493415095094+0j),(-9.833400543112419e-05+0j),,,,,,,(2.0367964897774174e-06+0j)
30,(0.0831992697546029+0j),(0.006526330767584967+0j),(-8.401482584198082e-05+0j),,,,,,,(2.036798530593744e-06+0j)
