,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
22,(0.06678843046283113+0j),(0.06709698137296452+0j),(-9.358164092409582e-05+0j),(6.699022825321029-19.11431897311182j),(0.8455023169517517+0j),(8.164872269844636e-05+0j),(2.4164958327352123e-05+0j),(0.2959624783917402+0j),(20+0j),(2.036782204063132e-06+0j)
23,(0.06909326761319817+0j),(0.06709503680658667+0j),(-5.634529845162722e-05+0j),(8.336603570857358-18.286609513770255j),(0.847899317741394+0j),(0.00010320149885956198+0j),(2.430216795893352e-05+0j),(0.23548270352162468+0j),(25+0j),(2.0367842448794584e-06+0j)
24,(0.07132991805070214+0j),(0.06709403102873873+0j),(-1.9010804777948823e-05+0j),(10.782272715277932-16.87929018608091j),(0.8398467898368835+0j),(0.0001343859767075628+0j),(2.3842762871802546e-05+0j),(0.1774200214631528+0j),(30+0j),(2.036786285695785e-06+0j)
25,(0.07349617447110039+0j),(0.067093965894095+0j),(1.8372923859282942e-05+0j),(14.440978365426567-14.21438681225303j),(0.8082054257392883+0j),(0.00017585605382919312+0j),(2.208004579427761e-05+0j),(0.12555749610828693+0j),(35+0j),(2.0367883265121114e-06+0j)
26,(0.0755898990403396+0j),(0.06709484202122824+0j),(5.575661633452374e-05+0j),(20.542757912478418-7.915823438545958j),(0.6999204158782959+0j),(0.00021192726853769273+0j),(1.6559749754673014e-05+0j),(0.07813883446399324+0j),(40+0j),(2.036790367328438e-06+0j)
27,(0.07760902550530327+0j),(0.06709665878453548+0j),(9.309071496517627e-05+0j),(66.26184667807493+71.34470925815052j),(0.06795025616884232+0j),(3.494568227324635e-05+0j),(1.5607690453103584e-07+0j),(0.004466271492731018+0j),(45+0j),(2.0367924081447644e-06+0j)
28,(0.07955156123194253+0j),(0.06709941430789298+0j),(0.0001303254445391099+0j),,,,,,,(2.036794448961091e-06+0j)
29,(0.08141558917159784+0j),(0.0671031054600568+0j),(0.00016741088193961728+0j),,,,,,,(2.0367964897774174e-06+0j)
30,(0.0831992697546029+0j),(0.06710772785182263+0j),(0.00020429702627054955+0j),,,,,,,(2.036798530593744e-06+0j)
31,(0.0849008427031277+0j),(0.06711327583495649+0j),(0.00024093386938656676+0j),,,,,,,(2.0368005714100704e-06+0j)
32,(0.08651862877028785+0j),(0.06711974250290513+0j),(0.0002772714667375491+0j),,,,,,,(2.036802612226397e-06+0j)
33,(0.08805103139617805+0j),(0.0671271196932931+0j),(0.00031326000844175846+0j),,,,,,,(2.0368046530427235e-06+0j)
34,(0.08949653828428333+0j),(0.06713539799221113+0j),(0.00034884989050956044+0j),,,,,,,(2.03680669385905e-06+0j)
35,(0.09085372289449278+0j),(0.06714456674029906+0j),(0.00038399178614981905+0j),,,,,,,(2.0368087346753765e-06+0j)
36,(0.09212124584910604+0j),(0.06715461404062419+0j),(0.00041863671710418675+0j),,,,,,,(2.036810775491703e-06+0j)
37,(0.0932978562559968+0j),(0.06716552676835583+0j),(0.0004527361249728942+0j),,,,,,,(2.0368128163080295e-06+0j)
38,(0.09438239294274735+0j),(0.06717729058223544+0j),(0.00048624194252002253+0j),,,,,,,(2.036814857124356e-06+0j)
39,(0.09537378560269487+0j),(0.06718988993784197+0j),(0.0005191066649788709+0j),,,,,,,(2.0368168979406825e-06+0j)
40,(0.09627105585054985+0j),(0.06720330810265354+0j),(0.0005512834214228713+0j),,,,,,,(2.036818938757009e-06+0j)
41,(0.09707331818944216+0j),(0.06721752717290838+0j),(0.0005827260463291846+0j),,,,,,,(2.0368209795733355e-06+0j)
42,(0.0977797808830829+0j),(0.06723252809227279+0j),(0.0006133891515473969+0j),,,,,,,(2.036823020389662e-06+0j)
43,(0.09838974673808566+0j),(0.0672482906723305+0j),(0.0006432281990060621+0j),,,,,,,(2.0368250612059886e-06+0j)
44,(0.09890261379179364+0j),(0.06726479361491815+0j),(0.0006721995746614999+0j),,,,,,,(2.036827102022315e-06+0j)
45,(0.099317875906344+0j),(0.06728201453634787+0j),(0.0007002606644411683+0j),,,,,,,(2.0368291428386416e-06+0j)
46,(0.0996351232681338+0j),(0.06729992999358106+0j),(0.0007273699332988152+0j),,,,,,,(2.036831183654968e-06+0j)
